,name,Position,Academic Year,Height,Weight,Hometown,High School,Year,sport,Sport
23,Ed’Ricus Williams, High Jump, Gr.,NA,NA," Warrenton, Ga.", Warren County,2016,mens-track-and-field,
0,Noah Agwu, Throws, So.,NA,NA," Wilmington, Del.", Alexis I. DuPont,2017,mens-track-and-field,
1,Qayyim Ali, High Jump, Fr.,NA,NA," Williamsport, Pa.", Williamsport,2017,mens-track-and-field,
2,Jakub Andrzejczak, Jumps, Fr.,NA,NA," Aleksandrow Lodzki, Poland", SMSO-LO Kopernicus,2017,mens-track-and-field,
3,David Barney, Middle Distance/Distance, Gr.,NA,NA," Lynchburg, Va.", E.C. Glass,2017,mens-track-and-field,
4,Carlos Becker III, Long Jump, So.,NA,NA," Kissimmee, Fla.", Osceola,2017,mens-track-and-field,
5,Christoff Bryan, High Jump, Sr.,NA,NA," Kingston, Jamaica", Wolmer's Boys,2017,mens-track-and-field,
6,Matt Butler, Middle Distance, Sr.,NA,NA," Fort Lauderdale, Fla.", St. Thomas Aquinas,2017,mens-track-and-field,
7,Michael Callegari, Distance, Sr.,NA,NA," Borehamwood, London, UK", St. Mary's University,2017,mens-track-and-field,
8,D’Mitry Charlton, Hurdles, Jr.,NA,NA," Nassau, Bahamas", Queen's College,2017,mens-track-and-field,
9,Steven Cross, Distance, So.,NA,NA," Merritt Island, Fla.", Merritt Island,2017,mens-track-and-field,
10,Trey Cunningham, Hurdles/Sprints, Fr.,NA,NA," Winfield, Ala.", Winfield City,2017,mens-track-and-field,
11,Tyler Dau, Distance, Fr.,NA,NA, Geneva. Ill., Geneva Community,2017,mens-track-and-field,
12,Austin Droogsma, Throws, R-Sr.,NA,NA," Gulf Breeze, Fla.", Gulf Breeze,2017,mens-track-and-field,
13,Shamon Ehiemua, Sprints, Fr.,NA,NA," Missouri City, TX.", Fort Bend Marshall,2017,mens-track-and-field,
14,Andre Ewers, Sprints, Jr.,NA,NA," Lauderhill, Fla.", Piper,2017,mens-track-and-field,
15,Kyle Fearrington, Sprints, So.,NA,NA," Tarpon Springs, Fla.", East Lake,2017,mens-track-and-field,
16,Kenneth Fisher, Jumps, Gr.,NA,NA," East Point, Ga.", Tri-Cities,2017,mens-track-and-field,
17,Conner Flynn, Javelin, So.,NA,NA," Middletown, R.I.", Middletown,2017,mens-track-and-field,
18,Bert Freire, Middle Distance, Fr.,NA,NA," Miami, Fla.", Christopher Columbus,2017,mens-track-and-field,
19,Darryl Gay, Sprints, Fr.,NA,NA," Orlando, Fla.", Evans,2017,mens-track-and-field,
20,Calvin Golson, Sprints, Fr.,NA,NA," Miramar, Fla.", Hallandale,2017,mens-track-and-field,
21,Keniel Grant, Jumps/Sprints, Sr.,NA,NA," Brampton, Ontario Canada", Kingston College,2017,mens-track-and-field,
22,Michael Hall, Middle Distance, R-Jr.,NA,NA," Cincinnati, Ohio", St. Xavier,2017,mens-track-and-field,
23,Darryl Haraway, Sprints, Jr.,NA,NA," Upper Marlboro, Md.", DeMatha Catholic,2017,mens-track-and-field,
24,Toby Hardwick, Distance, Jr.,NA,NA," Newark, Ohio", Newark,2017,mens-track-and-field,
25,Tye Highman, Hurdles, Fr.,NA,NA," Tallahassee, Fla.", Godby,2017,mens-track-and-field,
26,Tom Hogarty, Distance, Gr.,NA,NA," Metuchen, N.J.", St. Joseph,2017,mens-track-and-field,
27,Jacore Irving, Jumps, Fr.,NA,NA," Chattahoochee, Fla.", Sneads,2017,mens-track-and-field,
28,Fredrick Jones, Throws, R-Jr.,NA,NA," Miami, Fla.", Central,2017,mens-track-and-field,
29,Bryce Kelley, Distance, Gr.,NA,NA," Hope Valley, R.I.", Cariho Regional,2017,mens-track-and-field,
30,Corion Knight, Jumps, Sr.,NA,NA," Crawfordville, Fla.", Wakulla,2017,mens-track-and-field,
31,Elijah Knight, Hurdles, Fr.,NA,NA," Cary, NC", Cary High School,2017,mens-track-and-field,
32,Kenneth Lane III, Sprints, R-Jr.,NA,NA," Altamonte Springs, Fla.", Lake Brantley,2017,mens-track-and-field,
33,Stanley Linton, Distance, Gr.,NA,NA," Crawfordville, Fla.", Wakulla,2017,mens-track-and-field,
34,Matt Magee, Middle Distance, Gr.,NA,NA," Lutz, Fla.", Steinbrenner,2017,mens-track-and-field,
35,Conor Mcclain, Throws, So.,NA,NA," Rockaway, N.J.", Morris Hills,2017,mens-track-and-field,
36,Tyson Murray, Distance, R-Fr.,NA,NA," Tallahassee, Fla.", Chiles,2017,mens-track-and-field,
37,Hunter Napier, Multis, R-Fr.,NA,NA," Bradenton, Fla.", Lakewood Ranch,2017,mens-track-and-field,
38,Montel Nevers, Triple Jump, Sr.,NA,NA," Nottingham, Great Britain", Leeds Beckett University,2017,mens-track-and-field,
39,Dante Newberg, Heptathlon/Decathlon, Jr.,NA,NA," Tampa, Fla.", Tampa Jesuit,2017,mens-track-and-field,
40,Grant Nykaza, Distance, Sr.,NA,NA," Beecher, Ill.", Beecher,2017,mens-track-and-field,
41,Caleb Pottorff, Distance, Fr.,NA,NA," Ft. Pierce, Fla.", Lincoln Park Academy,2017,mens-track-and-field,
42,Raheem Robinson, Sprints, Jr.,NA,NA," Kingston, Jamaica", Wolmer's Boys,2017,mens-track-and-field,
43,Steven Simpkins, Sprints, So.,NA,NA," Tallahassee, Fla.", East Gadsden,2017,mens-track-and-field,
44,Istvan Szogi, Distance, R-Jr.,NA,NA," Tata, Hungary", Vetesi Albert,2017,mens-track-and-field,
45,Brandon Tirado, Throws, Jr.,NA,NA," Naples, Fla.", Gulf Coast,2017,mens-track-and-field,
46,Armani Wallace, Jumps, Jr.,NA,NA," Orlando, Fla.", Colonial,2017,mens-track-and-field,
0,D’Marcus Adams, Hurdles/Sprints, Fr.,NA,NA," Ormond Beach, Fla.", Mainland,2018,mens-track-and-field,
1,Jakub Andrzejczak, Jumps, So.,NA,NA," Aleksandrow Lodzki, Poland", SMSO-LO Kopernicus,2018,mens-track-and-field,
2,Roodolph Antoine, Sprints, Fr.,NA,NA," Palm Beach Gardens, Fla.", William T. Dwyer,2018,mens-track-and-field,
3,Christoff Bryan, High Jump, Sr.,NA,NA," Kingston, Jamaica", Wolmer's Boys,2018,mens-track-and-field,
4,Daeqwan Butler, Sprints, Fr.,NA,NA," Fort Lauderdale, Fla.", Piper,2018,mens-track-and-field,
5,Matt Butler, Middle Distance, Sr.,NA,NA," Fort Lauderdale, Fla.", St. Thomas Aquinas,2018,mens-track-and-field,
6,D’Mitry Charlton, Hurdles, Sr.,NA,NA," Nassau, Bahamas", Queen's College,2018,mens-track-and-field,
7,Servenot Conserve, Hurdles, Fr.,NA,NA," North Lauderdale, Fla.", Coconut Creek,2018,mens-track-and-field,
8,Chris Corcoran, Distance, So.,NA,NA," Oakland, N.J.", Indian Hills,2018,mens-track-and-field,
9,Steven Cross, Distance, Jr.,NA,NA," Merritt Island, Fla.", Merritt Island,2018,mens-track-and-field,
10,Trey Cunningham, Hurdles/Sprints, So.,NA,NA," Winfield, Ala.", Winfield City,2018,mens-track-and-field,
11,Tyler Dau, Distance, R-Fr.,NA,NA, Geneva. Ill., Geneva Community,2018,mens-track-and-field,
12,Andre Ewers, Sprints, Sr.,NA,NA," Lauderhill, Fla.", Piper,2018,mens-track-and-field,
13,Kyle Fearrington, Sprints, Jr.,NA,NA," Tarpon Springs, Fla.", East Lake,2018,mens-track-and-field,
14,Bert Freire, Middle Distance, R-So.,NA,NA," Miami, Fla.", Christopher Columbus,2018,mens-track-and-field,
15,Darryl Gay, Sprints, So.,NA,NA," Orlando, Fla.", Evans,2018,mens-track-and-field,
16,Calvin Golson, Sprints, So.,NA,NA," Miramar, Fla.", Hallandale,2018,mens-track-and-field,
17,Michael Hall, Middle Distance/Steeplechase, Sr.,NA,NA," Cincinnati, Ohio", St. Xavier,2018,mens-track-and-field,
18,Darryl Haraway, Sprints, Sr.,NA,NA," Upper Marlboro, Md.", DeMatha Catholic,2018,mens-track-and-field,
19,Toby Hardwick, Middle Distance, Sr.,NA,NA," Newark, Ohio", Newark,2018,mens-track-and-field,
20,Tye Highman, Hurdles, So.,NA,NA," Tallahassee, Fla.", Godby,2018,mens-track-and-field,
21,Micah Hilliard, Middle Distance, R-Fr.,NA,NA," Live Oak, Fla.", Suwanee High School,2018,mens-track-and-field,
22,Milton Ingraham II, Throws, Fr.,NA,NA," Miami Gardens, Fla.", Hallandale,2018,mens-track-and-field,
23,Jacore Irving, Jumps, So.,NA,NA," Chattahoochee, Fla.", Sneads,2018,mens-track-and-field,
24,Kasaun James, Sprints, Jr.,NA,NA," Chesapeake, Va.", North Hardin,2018,mens-track-and-field,
25,Sanjae Lawrence, Throws, Jr.,NA,NA," Westmoreland, Jamaica", Petersfield Comprehensive,2018,mens-track-and-field,
26,David Lott, Combined Events, Jr.,NA,NA," Jacksonville, Fla.", Bartram Trail,2018,mens-track-and-field,
27,Jhevaughn Matherson, Sprints, Fr.,NA,NA," Kingston, Jamaica", Kingston College,2018,mens-track-and-field,
28,Conor Mcclain, Javelin, Jr.,NA,NA," Rockaway, N.J.", Morris Hills,2018,mens-track-and-field,
29,Tyson Murray, Distance, R-Jr.,NA,NA," Tallahassee, Fla.", Chiles,2018,mens-track-and-field,
30,Hunter Napier, Combined Events, R-Jr.,NA,NA," Bradenton, Fla.", Lakewood Ranch,2018,mens-track-and-field,
31,Dante Newberg, Combined Events, Sr.,NA,NA," Tampa, Fla.", Tampa Jesuit,2018,mens-track-and-field,
32,Matthew Newland, Distance, Fr.,NA,NA," Tallahassee, Fla.", Chiles,2018,mens-track-and-field,
33,Caleb Pottorff, Distance, R-Fr.,NA,NA," Ft. Pierce, Fla.", Lincoln Park Academy,2018,mens-track-and-field,
34,Bryand Rincher, Sprints, Fr.,NA,NA," Fort Lauderdale, Fla.", Piper,2018,mens-track-and-field,
35,Raheem Robinson, Sprints, Sr.,NA,NA," Kingston, Jamaica", Wolmer's Boys,2018,mens-track-and-field,
36,Steven Simpkins, Sprints, Jr.,NA,NA," Tallahassee, Fla.", East Gadsden,2018,mens-track-and-field,
37,Paul Stafford, Distance, Fr.,NA,NA," Lake Wales, Fla.", Lake Wales,2018,mens-track-and-field,
38,Istvan Szogi, Distance, R-Sr.,NA,NA," Tata, Hungary", Vetesi Albert,2018,mens-track-and-field,
39,Michael Timpson Jr., Sprints, Sr.,NA,NA," Palm Beach Gardens, Fla.", First Academy,2018,mens-track-and-field,
40,Brandon Tirado, Throws, Sr.,NA,NA," Naples, Fla.", Gulf Coast,2018,mens-track-and-field,
41,Armani Wallace, Jumps, Sr.,NA,NA," Orlando, Fla.", Colonial,2018,mens-track-and-field,
0,Roodolph Antoine, Sprints, So.,NA,NA," Palm Beach Gardens, Fla.", William T. Dwyer,2019,mens-track-and-field,
1,Taylor Banks, Sprints, Fr.,NA,NA," Miramar, Fla.", Miramar,2019,mens-track-and-field,
2,Daeqwan Butler, Sprints, So.,NA,NA," Fort Lauderdale, Fla.", Piper,2019,mens-track-and-field,
3,Braxton Canady, Hurdles/Sprints, Sr.,NA,NA," Jacksonville, Fla.", Paxon,2019,mens-track-and-field,
4,Darius Clark, Jumps, Jr.,NA,NA," Blue Springs, Mo.", Blue Springs,2019,mens-track-and-field,
5,Servenot Conserve, Hurdles, R-Fr.,NA,NA," North Lauderdale, Fla.", Coconut Creek,2019,mens-track-and-field,
6,Steven Cross, Distance, R-Jr.,NA,NA," Merritt Island, Fla.", Merritt Island,2019,mens-track-and-field,
7,Trey Cunningham, Hurdles/Sprints, Jr.,NA,NA," Winfield, Ala.", Winfield City,2019,mens-track-and-field,
8,Cameron Daniel, Sprints, Fr.,NA,NA," Miami, Fla.", Columbus,2019,mens-track-and-field,
9,Tyler Dau, Middle Distance/Distance, R-So.,NA,NA, Geneva. Ill., Geneva Community,2019,mens-track-and-field,
10,Jeremiah Davis, Jumps, Fr.,NA,NA," Lehigh Acres, Fla.", Lehigh,2019,mens-track-and-field,
11,Fabian Edoki, Jumps, Sr.,NA,NA," Calabar South, Nigeria", Faans,2019,mens-track-and-field,
12,Kyle Fearrington, Sprints, Sr.,NA,NA," Tarpon Springs, Fla.", East Lake,2019,mens-track-and-field,
13,Samuel Field, Middle Distance/Distance, Fr.,NA,NA," Hobart, Australia", Hobart College,2019,mens-track-and-field,
14,Joab Francois, Middle Distance, Fr.,NA,NA," Altamonte Springs, Fla.", Lake Brantley,2019,mens-track-and-field,
15,Bert Freire, Middle Distance, R-Jr.,NA,NA," Miami, Fla.", Christopher Columbus,2019,mens-track-and-field,
16,Darryl Gay, Sprints, Jr.,NA,NA," Orlando, Fla.", Evans,2019,mens-track-and-field,
17,Calvin Golson, Sprints, Jr.,NA,NA," Miramar, Fla.", Hallandale,2019,mens-track-and-field,
18,Silas Griffith,NA, Jr.,NA,NA," Ridgefield, Wash.", Ridgefield,2019,mens-track-and-field,
19,Isaac Grimes, Jumps, Jr.,NA,NA," Moreno Valley, Calif.", Rancho Verde,2019,mens-track-and-field,
20,Tye Highman, Hurdles, Jr.,NA,NA," Tallahassee, Fla.", Godby,2019,mens-track-and-field,
21,Micah Hilliard, Distance, R-Fr.,NA,NA," Live Oak, Fla.", Suwanee High School,2019,mens-track-and-field,
22,Jacob Hoeffner, Throws, Fr.,NA,NA," Fort Pierce, Fla.", John Carroll,2019,mens-track-and-field,
23,Milton Ingraham II, Throws, R-Fr.,NA,NA," Miami Gardens, Fla.", Hallandale,2019,mens-track-and-field,
24,Jacore Irving, Jumps, Jr.,NA,NA," Chattahoochee, Fla.", Sneads,2019,mens-track-and-field,
25,Kasaun James, Sprints, Jr.,NA,NA," Chesapeake, Va.", North Hardin,2019,mens-track-and-field,
26,Kasey Knevelbaard, Middle Distance, Gr.,NA,NA," Caruthers, Calif.", Immanuel,2019,mens-track-and-field,
27,Sanjae Lawrence, Throws, Sr.,NA,NA," Westmoreland, Jamaica", Petersfield Comprehensive,2019,mens-track-and-field,
28,Tshenolo Lemao, Sprints, Fr.,NA,NA," Bloemfontein, South Africa", Tuks Sport,2019,mens-track-and-field,
29,David Lott, Combined Events, Sr.,NA,NA," Jacksonville, Fla.", Bartram Trail,2019,mens-track-and-field,
30,Harrison Martingayle, Distance, Gr.,NA,NA," Virginia Beach, Va.", Princess Anne,2019,mens-track-and-field,
31,Jhevaughn Matherson, Sprints, So.,NA,NA," Kingston, Jamaica", Kingston College,2019,mens-track-and-field,
32,Hunter Napier, Combined Events, Sr.,NA,NA," Bradenton, Fla.", Lakewood Ranch,2019,mens-track-and-field,
33,Nick Napier, Pole Vault, So.,NA,NA," Bradenton, Fla.", Lakewood Ranch,2019,mens-track-and-field,
34,Dante Newberg, Combined Events, Gr.,NA,NA," Tampa, Fla.", Tampa Jesuit,2019,mens-track-and-field,
35,Matthew Newland, Distance, So.,NA,NA," Tallahassee, Fla.", Chiles,2019,mens-track-and-field,
36,Caleb Parker, Hurdles/High Jump, Sr.,NA,NA," Stafford, Texas", Stafford,2019,mens-track-and-field,
37,Connor Phillips, Distance/Steeplechase, Fr.,NA,NA," Tallahassee, Fla.", Chiles,2019,mens-track-and-field,
38,Caleb Pottorff, Distance, R-So.,NA,NA," Ft. Pierce, Fla.", Lincoln Park Academy,2019,mens-track-and-field,
39,Winston Quinn, Middle Distance, Fr.,NA,NA," Miami, Fla.", Northwestern,2019,mens-track-and-field,
40,Bryand Rincher, Sprints, So.,NA,NA," Fort Lauderdale, Fla.", Piper,2019,mens-track-and-field,
41,James Rivera, Hurdles, Fr.,NA,NA," Bradenton, Fla.", Lakewood Ranch,2019,mens-track-and-field,
42,Paul Stafford, Distance, So.,NA,NA," Lake Wales, Fla.", Lake Wales,2019,mens-track-and-field,
43,Austin Thompson, Pole Vault, So.,NA,NA," Orlando, Fla.", Timber Creek,2019,mens-track-and-field,
0,Taylor Banks, Sprints, So.,NA,NA," Miramar, Fla.", Miramar,2020,mens-track-and-field,
1,Jay Brown, Distance, Fr.,NA,NA," Tallahassee, Fla.", Maclay,2020,mens-track-and-field,
2,Daeqwan Butler, Sprints, Jr.,NA,NA," Fort Lauderdale, Fla.", Piper,2020,mens-track-and-field,
3,Braxton Canady, Hurdles/Sprints, R-Sr.,NA,NA," Jacksonville, Fla.", Paxon,2020,mens-track-and-field,
4,Zach Cloud, Distance, Fr.,NA,NA," St. Cloud, Fla.", St. Cloud,2020,mens-track-and-field,
5,Ari Cogdell, Sprints, R-Sr.,NA,NA," Miami, Fla.", American Senior High School,2020,mens-track-and-field,
6,Alex Collier, Sprints, Fr.,NA,NA," Jacksonville, Fla.", Orange Park High School,2020,mens-track-and-field,
7,Steven Cross, Distance, R-Jr.,NA,NA," Merritt Island, Fla.", Merritt Island,2020,mens-track-and-field,
8,Trey Cunningham, Hurdles/Sprints, Sr.,NA,NA," Winfield, Ala.", Winfield City,2020,mens-track-and-field,
9,Tyler Dau, Middle Distance/Distance, R-Jr.,NA,NA, Geneva. Ill., Geneva Community,2020,mens-track-and-field,
10,Jeremiah Davis, Jumps, So.,NA,NA," Lehigh Acres, Fla.", Lehigh,2020,mens-track-and-field,
11,Anderson Denton, Distance, Fr.,NA,NA," Lake Wales, Fla.", Lake Wales,2020,mens-track-and-field,
12,Amari Douglas, Middle Distance, R-So.,NA,NA," Tallahassee, Fla.", Lincoln High School,2020,mens-track-and-field,
13,Fabian Edoki, Jumps, R-Sr.,NA,NA," Calabar South, Nigeria", Faans,2020,mens-track-and-field,
14,Samuel Field, Middle Distance/Distance, So.,NA,NA," Hobart, Australia", Hobart College,2020,mens-track-and-field,
15,Sukeil Foucha, Sprints, So.,NA,NA," Broward County, FL", Piper high school,2020,mens-track-and-field,
16,Joab Francois, Middle Distance, R-Fr.,NA,NA," Altamonte Springs, Fla.", Lake Brantley,2020,mens-track-and-field,
17,Bert Freire, Middle Distance, R-Sr.,NA,NA," Miami, Fla.", Christopher Columbus,2020,mens-track-and-field,
18,Darryl Gay, Sprints, Sr.,NA,NA," Orlando, Fla.", Evans,2020,mens-track-and-field,
19,Silas Griffith,NA, Sr.,NA,NA," Ridgefield, Wash.", Ridgefield,2020,mens-track-and-field,
20,Isaac Grimes, Jumps, Sr.,NA,NA," Moreno Valley, Calif.", Rancho Verde,2020,mens-track-and-field,
21,Jacob Hoeffner, Throws, R-Fr.,NA,NA," Fort Pierce, Fla.", John Carroll,2020,mens-track-and-field,
22,Milton Ingraham II, Throws, Jr.,NA,NA," Miami Gardens, Fla.", Hallandale,2020,mens-track-and-field,
23,Jacore Irving, Jumps, Sr.,NA,NA," Chattahoochee, Fla.", Sneads,2020,mens-track-and-field,
24,Kasaun James, Sprints, Sr.,NA,NA," Chesapeake, Va.", North Hardin,2020,mens-track-and-field,
25,Kasey Knevelbaard, Middle Distance, Gr.,NA,NA," Caruthers, Calif.", Immanuel,2020,mens-track-and-field,
26,Sanjae Lawrence, Throws, R-Sr.,NA,NA," Westmoreland, Jamaica", Petersfield Comprehensive,2020,mens-track-and-field,
27,Zach Leachman, Distance, Fr.,NA,NA," Mars, Pa.", Mars Area,2020,mens-track-and-field,
28,Cameron Leiba, Sprints, R-Fr.,NA,NA,NA,NA,2020,mens-track-and-field,
29,Tshenolo Lemao, Sprints, So.,NA,NA," Bloemfontein, South Africa", Tuks Sport,2020,mens-track-and-field,
30,Damarre Martin, Sprints, So.,NA,NA," Orlando, Fla.", University High School,2020,mens-track-and-field,
31,Jo’Vaughn Martin, Sprints, Sr.,NA,NA," Houston, Texas", Conroe High School,2020,mens-track-and-field,
32,Harrison Martingayle, Distance, Gr.,NA,NA," Virginia Beach, Va.", Princess Anne,2020,mens-track-and-field,
33,Jhevaughn Matherson, Sprints, Jr.,NA,NA," Kingston, Jamaica", Kingston College,2020,mens-track-and-field,
34,Ahmed Muhumed,NA, Sr.,NA,NA," Salem, Ore.", West Salem HS,2020,mens-track-and-field,
35,Nick Napier, Pole Vault, Jr.,NA,NA," Bradenton, Fla.", Lakewood Ranch,2020,mens-track-and-field,
36,Matthew Newland, Distance, Jr.,NA,NA," Tallahassee, Fla.", Chiles,2020,mens-track-and-field,
37,Riley Ott, Multi, Fr.,NA,NA," Lakeland, Fla.", George Jenkins High School,2020,mens-track-and-field,
38,Connor Phillips, Distance/Steeplechase, So.,NA,NA," Tallahassee, Fla.", Chiles,2020,mens-track-and-field,
39,Caleb Pottorff, Distance, R-Jr.,NA,NA," Ft. Pierce, Fla.", Lincoln Park Academy,2020,mens-track-and-field,
40,Winston Quinn, Middle Distance, So.,NA,NA," Miami, Fla.", Northwestern,2020,mens-track-and-field,
41,Luke Reid, Distance, R-Fr.,NA,NA," Fairhaven, N.J.", Christian Brothers Academy,2020,mens-track-and-field,
42,Bryand Rincher, Sprints, Jr.,NA,NA," Fort Lauderdale, Fla.", Piper,2020,mens-track-and-field,
43,James Rivera, Hurdles, R-Fr.,NA,NA," Bradenton, Fla.", Lakewood Ranch,2020,mens-track-and-field,
44,Paul Stafford, Distance, Jr.,NA,NA," Lake Wales, Fla.", Lake Wales,2020,mens-track-and-field,
45,Don’Dre Swint, Sprints, Jr.,NA,NA," Delray Beach, Fla.", Atlantic Community High School,2020,mens-track-and-field,
46,Austin Thompson, Pole Vault, Jr.,NA,NA," Orlando, Fla.", Timber Creek,2020,mens-track-and-field,
47,Jamal Walton, Sprints, Jr.,NA,NA," Miami, Fla.", Texas A&M,2020,mens-track-and-field,
48,Jordan Wesner, Jumps, Fr.,NA,NA," Princeton, Wis.", Memphis,2020,mens-track-and-field,
49,Adriaan Wildschutt, Distance, Jr.,NA,NA," Ceres, South Africa", Bella Vista HS,2020,mens-track-and-field,
50,Tyson Williams, Hurdles, Fr.,NA,NA," Lakeland, Fla.", George Jenkins High School,2020,mens-track-and-field,
0,Taylor Banks, Sprints, So.,NA,NA," Miramar, Fla.", Miramar,2021,mens-track-and-field,
1,Lucas Bouquot, Distance, Fr.,NA,NA," Ponte Vedra, Fla.", Ponte Vedra HS,2021,mens-track-and-field,
2,Jay Brown, Distance, Fr.,NA,NA," Tallahassee, Fla.", Maclay,2021,mens-track-and-field,
3,Daeqwan Butler, Sprints, Jr.,NA,NA," Fort Lauderdale, Fla.", Piper,2021,mens-track-and-field,
4,Zach Cloud, Distance, Fr.,NA,NA," St. Cloud, Fla.", St. Cloud,2021,mens-track-and-field,
5,Alex Collier, Sprints, Fr.,NA,NA," Jacksonville, Fla.", Orange Park High School,2021,mens-track-and-field,
6,Coleman Cronk, Distance, Fr.,NA,NA," West Chester, Ohio", Lakota West HS,2021,mens-track-and-field,
7,Trey Cunningham, Hurdles, Sr.,NA,NA," Winfield, Ala.", Winfield City,2021,mens-track-and-field,
8,Cameron Daniel, Sprints, Fr.,NA,NA," Miami, Fla.", Columbus,2021,mens-track-and-field,
9,Jeremiah Davis, Jumps, Jr.,NA,NA," Lehigh Acres, Fla.", Lehigh,2021,mens-track-and-field,
10,Patrick Donnelly, Distance, Fr.,NA,NA," Alexandria, Va.", Gonzaga College High School,2021,mens-track-and-field,
11,Amari Douglas, Middle Distance, So.,NA,NA," Tallahassee, Fla.", Lincoln High School,2021,mens-track-and-field,
12,Denzell Feagin, Sprints, So.,NA,NA," Columbus, Ohio", Pickerington Central,2021,mens-track-and-field,
13,Samuel Field, Distance, R-So.,NA,NA," Hobart, Australia", Hobart College,2021,mens-track-and-field,
14,Sukeil Foucha, Sprints/Middle Distance, R-Fr.,NA,NA," Broward County, FL", Piper high school,2021,mens-track-and-field,
15,Joab Francois, Middle Distance, Fr.,NA,NA," Altamonte Springs, Fla.", Lake Brantley,2021,mens-track-and-field,
16,Bert Freire, Middle Distance, R-Sr.,NA,NA," Miami, Fla.", Christopher Columbus,2021,mens-track-and-field,
17,Ulyesse Grace, Hurdles, Fr.,NA,NA," Miami, Fla.", South Dade Senior High School,2021,mens-track-and-field,
18,Silas Griffith, Distance, R-Sr.,NA,NA," Ridgefield, Wash.", Ridgefield,2021,mens-track-and-field,
19,Isaac Grimes, Jumps, Sr.,NA,NA," Moreno Valley, Calif.", Rancho Verde,2021,mens-track-and-field,
20,Andrew Hammel, Distance, So.,NA,NA," Clyde, N.C.", Christ High School,2021,mens-track-and-field,
21,Micah Hilliard, Distance, R-Jr.,NA,NA," Live Oak, Fla.", Suwanee High School,2021,mens-track-and-field,
22,Jacob Hoeffner, Throws, R-Fr.,NA,NA," Fort Pierce, Fla.", John Carroll,2021,mens-track-and-field,
23,Milton Ingraham II, Throws, Jr.,NA,NA," Miami Gardens, Fla.", Hallandale,2021,mens-track-and-field,
24,Jacore Irving, Jumps, Jr.,NA,NA," Chattahoochee, Fla.", Sneads,2021,mens-track-and-field,
25,Zach Leachman, Distance, Fr.,NA,NA," Mars, Pa.", Mars Area,2021,mens-track-and-field,
26,Damarre Martin, Sprints, So.,NA,NA," Orlando, Fla.", University High School,2021,mens-track-and-field,
27,Jo’Vaughn Martin, Sprints, Sr.,NA,NA," Houston, Texas", Conroe High School,2021,mens-track-and-field,
28,Andy Martinez, Distance, So.,NA,NA," Melbourne, Fla.", Viera High School,2021,mens-track-and-field,
29,Harrison Martingayle, Distance, Gr.,NA,NA," Virginia Beach, Va.", Princess Anne,2021,mens-track-and-field,
30,Jhevaughn Matherson, Sprints, Jr.,NA,NA," Kingston, Jamaica", Kingston College,2021,mens-track-and-field,
31,Ahmed Muhumed, Distance, R-Sr.,NA,NA," Salem, Ore.", West Salem HS,2021,mens-track-and-field,
32,Nick Napier, Pole Vaults, Jr.,NA,NA," Bradenton, Fla.", Lakewood Ranch,2021,mens-track-and-field,
33,Matthew Newland, Distance, Jr.,NA,NA," Tallahassee, Fla.", Chiles,2021,mens-track-and-field,
34,Riley Ott, Multi, Fr.,NA,NA," Lakeland, Fla.", George Jenkins High School,2021,mens-track-and-field,
35,Matt Owens, Distance, Sr.,NA,NA," Orem,  Utah", Orem High School,2021,mens-track-and-field,
36,Caleb Pottorff, Distance, R-Sr.,NA,NA," Ft. Pierce, Fla.", Lincoln Park Academy,2021,mens-track-and-field,
37,Winston Quinn, Middle Distance, So.,NA,NA," Miami, Fla.", Northwestern,2021,mens-track-and-field,
38,Luke Reid, Distance, Fr.,NA,NA," Fairhaven, N.J.", Christian Brothers Academy,2021,mens-track-and-field,
39,Bryand Rincher, Sprints, Jr.,NA,NA," Fort Lauderdale, Fla.", Piper,2021,mens-track-and-field,
40,James Rivera, Hurdles/Middle Distance, R-So.,NA,NA," Bradenton, Fla.", Lakewood Ranch,2021,mens-track-and-field,
41,Paul Stafford, Distance, Sr.,NA,NA," Lake Wales, Fla.", Lake Wales,2021,mens-track-and-field,
42,Don’Dre Swint, Sprints, Jr.,NA,NA," Delray Beach, Fla.", Atlantic Community High School,2021,mens-track-and-field,
43,Wynne Thomas, Distance, Fr.,NA,NA," Tampa, Fla.", HB Plant HS,2021,mens-track-and-field,
44,Mac Updike, Distance, Fr.,NA,NA," Lake Wales, Fla.", Lake Wales HS,2021,mens-track-and-field,
45,Sean Watkins Jr., Sprints, Fr.,NA,NA," Opa Locka, Fla", St. Thomas Aquinas High School,2021,mens-track-and-field,
46,Adriaan Wildschutt, Distance, Jr.,NA,NA," Ceres, South Africa", Bella Vista HS,2021,mens-track-and-field,
47,Curtis Williams, Jumps, Fr.,NA,NA," Tallahassee, Fla.", Leon HS,2021,mens-track-and-field,
48,Tyson Williams, Hurdles, Fr.,NA,NA," Lakeland, Fla.", George Jenkins High School,2021,mens-track-and-field,
49,Amir Willis, Sprints, So.,NA,NA," Cincinnati, Ohio", Winthrow High School,2021,mens-track-and-field,
50,Corey Wren, Sprints, R-Fr.,NA,NA," New Orleans, La.", John Curtis Christian,2021,mens-track-and-field,
0,Ahmari Avin, Throws, So.,NA,NA,NA,NA,2022,mens-track-and-field,
1,Taylor Banks, Sprints, Jr.,NA,NA," Miramar, Fla.", Miramar,2022,mens-track-and-field,
